"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.Car.Car","Answer.Face.Face","Answer.House.House","Answer.Human.Human","Answer.NoAnswer.NoAnswer","Answer.QColoring","Answer.QCompleteOut","Answer.QCompleteParts","Answer.QRelated","Answer.QScribbleBlank","Answer.QScribbleDrawing","Answer.QSomething","Answer.QTracing","Approve","Reject"
"3ZVPAMTJXQ2T10BWZ3NYBBLT777GRW","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:46:31 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:46:31 PDT 2020",,,"3TOK3KHVJXH9XD684B72ZNZB16T7OG","BGI","Approved","Tue Mar 17 00:03:55 PDT 2020","Tue Mar 17 00:19:21 PDT 2020","Fri Mar 20 00:19:21 PDT 2020","Tue Mar 17 18:17:19 PDT 2020",,,926,"100% (451/451)","100% (450/450)","100% (446/446)","P72_image-5_type-O_class-F.JPG","false","true","false","false","false",85,0,0,0,0,25,100,0,,
"3TFJJUELTKOZG4E6IRCEKCS6XNZ2CT","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:46:02 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:46:02 PDT 2020",,,"37FMASSAYGQM33YVJX6DKSPL8NLIBI","BGI","Approved","Tue Mar 17 00:19:21 PDT 2020","Tue Mar 17 00:22:28 PDT 2020","Fri Mar 20 00:22:28 PDT 2020","Tue Mar 17 18:17:07 PDT 2020",,,187,"100% (451/451)","100% (450/450)","100% (446/446)","P75_image-6_type-I_class-M.JPG","false","false","false","true","false",0,29,33,33,0,23,100,25,,
"3QXFBUZ40NFLHS3D3XI3GM8DE6BGU0","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:46:42 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:46:42 PDT 2020",,,"33PPO7FECZEFI0WFXTXJFIDLB8XIDP","BGI","Approved","Tue Mar 17 00:22:28 PDT 2020","Tue Mar 17 00:24:05 PDT 2020","Fri Mar 20 00:24:05 PDT 2020","Tue Mar 17 18:16:21 PDT 2020",,,97,"100% (451/451)","100% (450/450)","100% (446/446)","P73_image-2_type-O_class-M.JPG","false","false","false","true","false",46,0,42,37,0,49,100,0,,
"3GVPRXWRQKTXF8XCGDPVR679L857IG","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:45:30 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:45:30 PDT 2020",,,"3A7Y0R2P2SNPBHL26BJVLQVD45YJX4","BGI","Approved","Tue Mar 17 00:24:06 PDT 2020","Tue Mar 17 00:25:34 PDT 2020","Fri Mar 20 00:25:34 PDT 2020","Tue Mar 17 18:16:02 PDT 2020",,,88,"100% (451/451)","100% (450/450)","100% (446/446)","P64_image-1_type-O_class-F.JPG","false","true","false","false","false",16,0,25,30,0,0,100,18,,
"33KMQD9OGMD0QOGGXMLY0HH07SU77L","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:45:05 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:45:05 PDT 2020",,,"3FIJLY1B6Y34X6XF1UITCFHI9Z8FP9","BGI","Approved","Tue Mar 17 00:25:34 PDT 2020","Tue Mar 17 00:26:42 PDT 2020","Fri Mar 20 00:26:42 PDT 2020","Tue Mar 17 18:15:44 PDT 2020",,,68,"100% (451/451)","100% (450/450)","100% (446/446)","P109_image-6_type-S_class-F.JPG","false","true","false","false","false",0,0,0,0,0,14,100,67,,
"3ZUE82NE1D0H5V05PABG29QCG0JF8K","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:45:30 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:45:30 PDT 2020",,,"3EKVH9QME23B7FID8QCRS264MC0D29","BGI","Approved","Tue Mar 17 00:26:42 PDT 2020","Tue Mar 17 00:28:33 PDT 2020","Fri Mar 20 00:28:33 PDT 2020","Tue Mar 17 18:17:19 PDT 2020",,,111,"100% (451/451)","100% (450/450)","100% (446/446)","P99_image-2_type-I_class-M.JPG","false","false","false","true","false",42,0,0,42,11,0,100,0,,
"3QMELQS6Z8AR47MQNQECZK84DT46RK","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:44:10 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:44:10 PDT 2020",,,"354P56DE9O2OV5Y1BSOBJS9CYVW7SD","BGI","Approved","Tue Mar 17 00:28:33 PDT 2020","Tue Mar 17 00:29:36 PDT 2020","Fri Mar 20 00:29:36 PDT 2020","Tue Mar 17 18:16:21 PDT 2020",,,63,"100% (451/451)","100% (450/450)","100% (446/446)","P80_image-1_type-S_class-C.JPG","true","false","false","false","false",0,46,91,100,0,0,100,0,,
"3LEG2HW4VIM6JGYG9T2FSID9U0RF2H","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:45:21 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:45:21 PDT 2020",,,"3SPJ0334252EBMBCB75X442M6BSJYA","BGI","Approved","Tue Mar 17 00:29:36 PDT 2020","Tue Mar 17 00:30:31 PDT 2020","Fri Mar 20 00:30:31 PDT 2020","Tue Mar 17 18:16:12 PDT 2020",,,55,"100% (451/451)","100% (450/450)","100% (446/446)","P88_image-6_type-S_class-C.JPG","true","false","false","false","false",0,52,21,41,0,0,100,0,,
"32W3UF2E0RK9JITTM5V2DRP4H1V4CR","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:44:22 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:44:22 PDT 2020",,,"3TY7ZAOG5JJCPBL9LKU0DR8F9NDK09","BGI","Approved","Tue Mar 17 00:30:32 PDT 2020","Tue Mar 17 00:31:36 PDT 2020","Fri Mar 20 00:31:36 PDT 2020","Tue Mar 17 18:15:44 PDT 2020",,,64,"100% (451/451)","100% (450/450)","100% (446/446)","P11_image-4_type-O_class-F.JPG","false","true","false","false","false",0,0,100,100,0,0,100,0,,
"3LVTFB9DF8HTPZWWMOYY6LBOBL5GQV","3VU3J1KUFFYP66X6XLYAV6F2IJ3TGV","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.25","Mon Mar 16 22:46:31 PDT 2020",3,"BatchId:271874;OriginalHitTemplateId:921587262;",3600,259200,"Mon Mar 23 22:46:31 PDT 2020",,,"3SKRO2GZ75QCW06RH3Y0RWRPEFJK1C","BGI","Approved","Tue Mar 17 00:31:36 PDT 2020","Tue Mar 17 00:32:48 PDT 2020","Fri Mar 20 00:32:48 PDT 2020","Tue Mar 17 18:16:12 PDT 2020",,,72,"100% (451/451)","100% (450/450)","100% (446/446)","P68_image-2_type-S_class-C.JPG","true","false","false","false","false",35,23,69,88,0,0,100,0,,
