"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.Car.Car","Answer.Face.Face","Answer.House.House","Answer.Human.Human","Answer.NoAnswer.NoAnswer","Answer.QColoring","Answer.QCompleteOut","Answer.QCompleteParts","Answer.QRelated","Answer.QScribbleBlank","Answer.QScribbleDrawing","Answer.QTracing","Approve","Reject"
"35JDMRECD784SW6RDY7MZE4NXQZGEJ","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","37WLF8U1WTP73M7ON9E4A2ZPGDU6K0","AQZM81DMVPHW5","Submitted","Fri Apr 03 17:05:13 PDT 2020","Fri Apr 03 17:13:48 PDT 2020","Mon Apr 06 17:13:48 PDT 2020","","","","515","0% (0/0)","0% (0/0)","0% (0/0)","P8_image-2_type-I_class-F.JPG","false","true","false","false","false","66","34","78","55","67","48","55"
"35JDMRECD784SW6RDY7MZE4NXQZGEJ","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","3QILPRALQ9UVF6BFD13IM8CKG3O8NS","A1KXF2L2ZGQXJK","Submitted","Fri Apr 03 17:03:37 PDT 2020","Fri Apr 03 17:04:40 PDT 2020","Mon Apr 06 17:04:40 PDT 2020","","","","63","0% (0/0)","0% (0/0)","0% (0/0)","P8_image-2_type-I_class-F.JPG","false","true","false","false","false","8","9","8","8","74","75","10"
"35JDMRECD784SW6RDY7MZE4NXQZGEJ","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","3R6BYFZZPBB96FZ6NLWXU2K45LAXFH","A207IHY6GERCFO","Submitted","Fri Apr 03 17:02:45 PDT 2020","Fri Apr 03 17:03:17 PDT 2020","Mon Apr 06 17:03:17 PDT 2020","","","","32","0% (0/0)","0% (0/0)","0% (0/0)","P8_image-2_type-I_class-F.JPG","false","true","false","false","false","5","10","30","4","75","8","6"
"3I7KR83SODCSZMBTVECF5SV5DA09K5","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","337RC3OW09132I479HYD1US3M6NVLG","A1KBDN6C1Q0D4U","Submitted","Fri Apr 03 18:01:13 PDT 2020","Fri Apr 03 18:16:10 PDT 2020","Mon Apr 06 18:16:10 PDT 2020","","","","897","0% (0/0)","0% (0/0)","0% (0/0)","P8_image-6_type-S_class-F.JPG","false","true","false","false","false","40","3","66","66","6","27","55"
"3I7KR83SODCSZMBTVECF5SV5DA09K5","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","34BBWHLWHEAER6W6EO6WVGJPCBXWIF","AIU30D5BNNCWH","Submitted","Fri Apr 03 17:05:14 PDT 2020","Fri Apr 03 17:08:06 PDT 2020","Mon Apr 06 17:08:06 PDT 2020","","","","172","0% (0/0)","0% (0/0)","0% (0/0)","P8_image-6_type-S_class-F.JPG","false","true","false","false","false","5","100","35","68","4","6","54"
"3I7KR83SODCSZMBTVECF5SV5DA09K5","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","3VP0C6EFSKV2TA7R8LRKPFRT5IP6M5","A1RA8Z8GIITZWJ","Submitted","Fri Apr 03 17:05:15 PDT 2020","Fri Apr 03 17:09:04 PDT 2020","Mon Apr 06 17:09:04 PDT 2020","","","","229","0% (0/0)","0% (0/0)","0% (0/0)","P8_image-6_type-S_class-F.JPG","false","true","false","false","false","57","50","33","42","62","35","37"
"3X7837UUBGXA6J3DFM9RK34Q8KSJ65","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","30LB5CDZNG97E6KVLL1XOGDB7JL0ZF","AQZM81DMVPHW5","Submitted","Fri Apr 03 17:05:04 PDT 2020","Fri Apr 03 17:10:09 PDT 2020","Mon Apr 06 17:10:09 PDT 2020","","","","305","0% (0/0)","0% (0/0)","0% (0/0)","P10_image-2_type-O_class-F.JPG","false","true","false","false","false","85","54","73","63","76","63","78"
"3X7837UUBGXA6J3DFM9RK34Q8KSJ65","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","31IBVUNM9WYH2QUBN6VF6HNJPA2VFC","A1PAY3X73PQ16S","Submitted","Fri Apr 03 17:03:04 PDT 2020","Fri Apr 03 17:11:48 PDT 2020","Mon Apr 06 17:11:48 PDT 2020","","","","524","0% (0/0)","0% (0/0)","0% (0/0)","P10_image-2_type-O_class-F.JPG","false","true","false","false","false","0","9","100","100","0","0","25"
"3X7837UUBGXA6J3DFM9RK34Q8KSJ65","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","3VAR3R6G1T0DXRBREG3V1XCP6DRO8L","AKMQH2MGTUWO9","Submitted","Fri Apr 03 17:01:12 PDT 2020","Fri Apr 03 17:01:40 PDT 2020","Mon Apr 06 17:01:40 PDT 2020","","","","28","0% (0/0)","0% (0/0)","0% (0/0)","P10_image-2_type-O_class-F.JPG","false","true","false","false","false","15","12","77","80","0","0","0"
"3WYZV0QBGMCH7FPXSH50MSYXXJIBX6","3PICF97GBUN8LLTYN1OJ7TJQMVYP74","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","categorize, image, rating","$0.25","Fri Apr 03 17:00:07 PDT 2020","3","BatchId:3980777;OriginalHitTemplateId:928390873;","3600","259200","Fri Apr 10 17:00:07 PDT 2020","","","32UTUBMZ7KVRP9IVI49JNRWYACAVBU","A90T7I7KQIZQA","Submitted","Fri Apr 03 17:02:53 PDT 2020","Fri Apr 03 17:18:08 PDT 2020","Mon Apr 06 17:18:08 PDT 2020","","","","915","0% (0/0)","0% (0/0)","0% (0/0)","P10_image-6_type-S_class-M.JPG","false","false","false","true","false","82","53","6","70","90","90","47"
