"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.Car.Car","Answer.Face.Face","Answer.House.House","Answer.Human.Human","Answer.NoAnswer.NoAnswer","Answer.QColoring","Answer.QCompleteOut","Answer.QCompleteParts","Answer.QRelated","Answer.QScribbleBlank","Answer.QScribbleDrawing","Answer.QSomething","Answer.QTracing","Approve","Reject"
"3QXFBUZ40NFLHS3D3XI3GM8DE7MGUD","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:24:24 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:24:24 PDT 2020","","","3KKG4CDWKMX973KJ0OQDZLKCF5149Z","MEP","Submitted","Wed Mar 25 08:40:43 PDT 2020","Wed Mar 25 08:41:05 PDT 2020","Sat Mar 28 08:41:05 PDT 2020","","","","22","100% (626/626)","100% (621/621)","100% (83/83)","P28_image-4_type-O_class-M.JPG","false","false","false","true","false","0","0","100","100","0","0","100","0"
"3CVDZS289KZWQK29JBLZ7RR706JFML","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:28:31 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:28:31 PDT 2020","","","3NQL1CS15V7N2HB6SWJG7SDG1YIYVT","MEP","Submitted","Wed Mar 25 08:11:19 PDT 2020","Wed Mar 25 08:12:46 PDT 2020","Sat Mar 28 08:12:46 PDT 2020","","","","87","100% (626/626)","100% (621/621)","100% (83/83)","P28_image-5_type-S_class-H.JPG","false","false","true","false","false","0","0","100","55","0","0","100","0"
"3V0TR1NRWD1LQ3WV2RZB7WZGHZLA48","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:24:24 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:24:24 PDT 2020","","","3AZHRG4CU8J6TDD20E21W5RDY1B301","MEP","Submitted","Wed Mar 25 07:27:51 PDT 2020","Wed Mar 25 07:29:16 PDT 2020","Sat Mar 28 07:29:16 PDT 2020","","","","85","100% (626/626)","100% (621/621)","100% (83/83)","P28_image-6_type-I_class-F.JPG","false","true","false","false","false","0","100","100","100","0","0","100","0"
"31HLTCK4COULU7SD8NS8C8AWSEVGV2","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:24:24 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:24:24 PDT 2020","","","3UN61F00H0OX7MK58A99VYQKLN25RS","MEP","Submitted","Wed Mar 25 07:53:43 PDT 2020","Wed Mar 25 07:54:04 PDT 2020","Sat Mar 28 07:54:04 PDT 2020","","","","21","100% (626/626)","100% (621/621)","100% (83/83)","P29_image-5_type-O_class-C.JPG","true","false","false","false","false","0","0","100","100","0","0","100","0"
"3M0556244VJ282N9VC0ZK6G75WTFNL","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:28:31 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:28:31 PDT 2020","","","3R08VXYT7GUH2MFAVXYCGHCX48C7WC","MEP","Submitted","Wed Mar 25 07:12:17 PDT 2020","Wed Mar 25 07:13:05 PDT 2020","Sat Mar 28 07:13:05 PDT 2020","","","","48","100% (626/626)","100% (621/621)","100% (83/83)","P29_image-6_type-O_class-M.JPG","false","false","false","true","false","0","0","100","100","19","0","100","0"
"3KL228NDNYL7EWY19JE1AZZFCGOKGK","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:28:31 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:28:31 PDT 2020","","","3SUWZRL0M2C4HMFERNZEOX512TN6EW","MEP","Submitted","Wed Mar 25 08:20:27 PDT 2020","Wed Mar 25 08:20:57 PDT 2020","Sat Mar 28 08:20:57 PDT 2020","","","","30","100% (626/626)","100% (621/621)","100% (83/83)","P30_image-1_type-O_class-C.JPG","true","false","false","false","false","100","0","0","100","0","0","100","0"
"3W5PY7V3VS6CP3DJL40VGK662NEJYI","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:27:14 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:27:14 PDT 2020","","","3ZY8KE4ISN2ETFKK1M2MU6AE2P1VQN","MEP","Submitted","Wed Mar 25 07:50:47 PDT 2020","Wed Mar 25 07:51:15 PDT 2020","Sat Mar 28 07:51:15 PDT 2020","","","","28","100% (626/626)","100% (621/621)","100% (83/83)","P30_image-5_type-O_class-F.JPG","false","true","false","false","false","100","0","100","100","0","0","100","0"
"3EQPA8A387VCUTNOHQ2EURF88HIJZ9","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:27:14 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:27:14 PDT 2020","","","3WETL7AQWX75OKZ3XK8DD0N4F9M35M","MEP","Submitted","Wed Mar 25 07:47:34 PDT 2020","Wed Mar 25 07:47:52 PDT 2020","Sat Mar 28 07:47:52 PDT 2020","","","","18","100% (626/626)","100% (621/621)","100% (83/83)","P30_image-6_type-S_class-C.JPG","true","false","false","false","false","100","0","0","100","0","0","100","0"
"3UZUVSO3QAU4K62DO01TP967O54MEA","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:27:14 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:27:14 PDT 2020","","","34Q075JO11CAJAZNDAOI8CCG0HX107","MEP","Submitted","Wed Mar 25 07:33:59 PDT 2020","Wed Mar 25 07:34:29 PDT 2020","Sat Mar 28 07:34:29 PDT 2020","","","","30","100% (626/626)","100% (621/621)","100% (83/83)","P31_image-1_type-I_class-C.JPG","true","false","false","false","false","0","100","0","100","0","0","100","0"
"3IWA71V4ULFB1382WPK4O2USEB06XT","3LWRTF7M44YNR3XS1MJAOUP9ME9DKC","Answer questions about children's drawings 2","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:24:31 PDT 2020","3","BatchId:272379;OriginalHitTemplateId:921587262;","3600","259200","Fri Mar 27 03:24:31 PDT 2020","","","3ZV9H2YQQH6Z13ENTLVM300HZ6PW3V","MEP","Submitted","Wed Mar 25 08:18:20 PDT 2020","Wed Mar 25 08:19:19 PDT 2020","Sat Mar 28 08:19:19 PDT 2020","","","","59","100% (626/626)","100% (621/621)","100% (83/83)","P31_image-5_type-S_class-F.JPG","false","true","false","false","false","0","100","0","55","0","100","100","0"
