"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.Car.Car","Answer.Face.Face","Answer.House.House","Answer.Human.Human","Answer.NoAnswer.NoAnswer","Answer.QColoring","Answer.QCompleteOut","Answer.QCompleteParts","Answer.QRelated","Answer.QScribbleBlank","Answer.QScribbleDrawing","Answer.QSomething","Answer.QTracing","Approve","Reject"
"3YLPJ8OXYBCXMG4OD1RPR4AEIKU4X6","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3J88R45B2KXLXSO01OOFIMHPD4RXP5","MGL","Submitted","Fri Mar 27 03:17:26 PDT 2020","Fri Mar 27 03:21:55 PDT 2020","Mon Mar 30 03:21:55 PDT 2020","","","","269","100% (626/626)","100% (621/621)","100% (83/83)","P69_image-2_type-I_class-F.JPG","false","true","false","false","false","0","0","40","70","0","0","23","32"
"3RBI0I35YH214PBUIJ880DPH6QRY3K","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3YOH7BII0D6SICMPOHIPYKY53JDVKZ","MGL","Submitted","Fri Mar 27 02:59:15 PDT 2020","Fri Mar 27 03:00:00 PDT 2020","Mon Mar 30 03:00:00 PDT 2020","","","","45","100% (626/626)","100% (621/621)","100% (83/83)","P69_image-4_type-O_class-H.JPG","false","false","true","false","false","0","21","99","78","0","0","36","21"
"3ZZAYRN1J9QU9S5MRB51GZVDMF5TOL","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3AZHRG4CU8J6TDD20E21W5RDY1F032","MGL","Submitted","Fri Mar 27 03:00:39 PDT 2020","Fri Mar 27 03:01:31 PDT 2020","Mon Mar 30 03:01:31 PDT 2020","","","","52","100% (626/626)","100% (621/621)","100% (83/83)","P64_image-5_type-S_class-C.JPG","true","false","false","false","false","14","0","24","39","0","16","22","0"
"3G3AJKPCYORMMLUYIXDRAIHNKQO4YC","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3KGTPGBS61KXOHTZUL2G22AS8CIU2N","MGL","Submitted","Fri Mar 27 03:51:00 PDT 2020","Fri Mar 27 03:51:29 PDT 2020","Mon Mar 30 03:51:29 PDT 2020","","","","29","100% (626/626)","100% (621/621)","100% (83/83)","P91_image-6_type-O_class-C.JPG","true","false","false","false","false","0","63","98","0","0","0","35","0"
"3R6RZGK0YIBLGYDD2TEEJ8H0XAKVYE","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3U5JL4WY5O8Z8Z2H34WRFO6UM8VX4E","MGL","Submitted","Fri Mar 27 05:10:31 PDT 2020","Fri Mar 27 05:10:50 PDT 2020","Mon Mar 30 05:10:50 PDT 2020","","","","19","100% (626/626)","100% (621/621)","100% (83/83)","P94_image-2_type-I_class-H.JPG","false","false","true","false","false","84","0","0","0","0","0","43","0"
"3YOAVL4CB3GMRB43EJFAOPQPQKS4Z3","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3CPLWGV3MSYVTBUPIT59YUQC6M09N3","MGL","Submitted","Fri Mar 27 05:57:35 PDT 2020","Fri Mar 27 05:58:05 PDT 2020","Mon Mar 30 05:58:05 PDT 2020","","","","30","100% (626/626)","100% (621/621)","100% (83/83)","P110_image-6_type-O_class-M.JPG","false","false","false","true","false","70","0","28","54","0","0","34","0"
"3G3AJKPCYORMMLUYIXDRAIHNKQNY45","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","37TRT2X24UQIYEI11FRDWT4LL2YBJB","MGL","Submitted","Fri Mar 27 05:56:35 PDT 2020","Fri Mar 27 05:56:51 PDT 2020","Mon Mar 30 05:56:51 PDT 2020","","","","16","100% (626/626)","100% (621/621)","100% (83/83)","P107_image-1_type-S_class-M.JPG","false","false","false","false","true","0","0","0","0","0","73","36","0"
"3OWZNK3RZOOV2YV64IXEEIEC4OH2UG","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3Z7ISHFUH4UPWVPYGPAPTL2AWUQ8ZU","MGL","Submitted","Fri Mar 27 05:11:47 PDT 2020","Fri Mar 27 05:12:10 PDT 2020","Mon Mar 30 05:12:10 PDT 2020","","","","23","100% (626/626)","100% (621/621)","100% (83/83)","P83_image-3_type-S_class-C.JPG","true","false","false","false","false","58","0","0","0","0","0","34","0"
"3ZG552ORBP3VFDK6987JA4GVIVQ2V5","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3CN4LGXD51NO84SR80ITY2D3OEQ4YS","MGL","Submitted","Fri Mar 27 06:04:44 PDT 2020","Fri Mar 27 06:05:02 PDT 2020","Mon Mar 30 06:05:02 PDT 2020","","","","18","100% (626/626)","100% (621/621)","100% (83/83)","P93_image-1_type-O_class-H.JPG","false","false","true","false","false","100","0","0","0","0","0","33","0"
"38VTL6WC5DC4I4YYW2W1FAN1KMIY5A","30EHNVFQM33S65DMFGMMOP5AANXB10","Answer questions about children's drawings","Answer questions to categorize how/what a child drew on an existing drawing.","rating, image, categorize","$0.15","Fri Mar 20 03:14:22 PDT 2020","3","BatchId:272377;OriginalHitTemplateId:921587262;","3600","259200","Tue Mar 31 03:16:03 PDT 2020","","","3F6HPJW4JHZAGLI4PLHHKQVPTSU2WV","MGL","Submitted","Fri Mar 27 03:16:51 PDT 2020","Fri Mar 27 03:17:26 PDT 2020","Mon Mar 30 03:17:26 PDT 2020","","","","35","100% (626/626)","100% (621/621)","100% (83/83)","P93_image-4_type-S_class-F.JPG","false","true","false","false","false","91","0","0","24","0","0","31","63"
