WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Input.image_url,Answer.Car.Car,Answer.Face.Face,Answer.House.House,Answer.Human.Human,Answer.NoAnswer.NoAnswer,Answer.QColoring,Answer.QCompleteOut,Answer.QCompleteParts,Answer.QRelated,Answer.QScribbleBlank,Answer.QScribbleDrawing,Answer.QSomething,Answer.QTracing
NA,0,0% (0/0),P13_image-5_type-O_class-C.JPG,true,false,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P13_image-6_type-S_class-H.JPG,false,false,true,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P26_image-3_type-S_class-C.JPG,true,false,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P29_image-1_type-I_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P46_image-1_type-I_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P46_image-2_type-S_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P61_image-1_type-S_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P61_image-2_type-I_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P61_image-3_type-O_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P64_image-3_type-I_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P69_image-1_type-S_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P69_image-3_type-O_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P69_image-6_type-S_class-H.JPG,false,false,true,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P77_image-6_type-S_class-H.JPG,false,false,true,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P78_image-1_type-S_class-H.JPG,false,false,true,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P78_image-3_type-I_class-H.JPG,false,false,true,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P80_image-3_type-S_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P82_image-1_type-I_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P90_image-1_type-I_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P90_image-3_type-S_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P90_image-5_type-S_class-H.JPG,false,false,true,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P91_image-3_type-S_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P100_image-4_type-S_class-C.JPG,true,false,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P100_image-5_type-I_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P105_image-2_type-S_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P105_image-4_type-I_class-F.JPG,false,true,false,false,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P121_image-3_type-S_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
NA,0,0% (0/0),P95_image-4_type-S_class-M.JPG,false,false,false,true,false,0,0,0,0,0,0,0,0
