,age_group,image_url,pic_class,pic_type,layer,age,aq,dist
0,1,P8_image-1_type-I_class-C.JPG,class-C,type-I,0,31,20.4081632653061,0.7796652237118868
1,1,P8_image-2_type-I_class-F.JPG,class-F,type-I,0,31,20.4081632653061,0.9363289158406628
2,1,P8_image-3_type-O_class-M.JPG,class-M,type-O,0,31,20.4081632653061,0.782938685767585
3,1,P8_image-4_type-O_class-H.JPG,class-H,type-O,0,31,20.4081632653061,0.4087398087610037
4,1,P8_image-5_type-S_class-H.JPG,class-H,type-S,0,31,20.4081632653061,1.1009560710614028
5,1,P8_image-6_type-S_class-F.JPG,class-F,type-S,0,31,20.4081632653061,1.1748868762704647
6,3,P10_image-1_type-S_class-C.JPG,class-C,type-S,0,68,11.2244897959184,0.3250852943589855
7,3,P10_image-2_type-O_class-F.JPG,class-F,type-O,0,68,11.2244897959184,0.5201526966670296
8,3,P10_image-3_type-I_class-M.JPG,class-M,type-I,0,68,11.2244897959184,0.7513271771634894
9,3,P10_image-4_type-O_class-C.JPG,class-C,type-O,0,68,11.2244897959184,0.1896195820227824
10,3,P10_image-5_type-I_class-H.JPG,class-H,type-I,0,68,11.2244897959184,0.41454267917803633
11,3,P10_image-6_type-S_class-M.JPG,class-M,type-S,0,68,11.2244897959184,0.38060402612290734
12,2,P13_image-1_type-S_class-M.JPG,class-M,type-S,0,58,18.0,0.7460619077210268
13,2,P13_image-2_type-I_class-F.JPG,class-F,type-I,0,58,18.0,0.6456579477928461
14,2,P13_image-3_type-I_class-H.JPG,class-H,type-I,0,58,18.0,0.33918866096673683
15,2,P13_image-4_type-O_class-M.JPG,class-M,type-O,0,58,18.0,0.559662275934073
16,1,P14_image-1_type-O_class-F.JPG,class-F,type-O,0,38,20.0,0.31181547381018637
17,1,P14_image-2_type-I_class-M.JPG,class-M,type-I,0,38,20.0,0.8115656006437094
18,1,P14_image-3_type-O_class-C.JPG,class-C,type-O,0,38,20.0,0.1684679701715729
19,1,P14_image-4_type-I_class-H.JPG,class-H,type-I,0,38,20.0,0.4565009120166833
20,1,P14_image-5_type-S_class-M.JPG,class-M,type-S,0,38,20.0,0.7391143021056669
21,1,P14_image-6_type-S_class-C.JPG,class-C,type-S,0,38,20.0,0.2828621728334837
22,1,P15_image-1_type-I_class-M.JPG,class-M,type-I,0,29,-1.0,0.7069144675376728
23,1,P15_image-2_type-I_class-C.JPG,class-C,type-I,0,29,-1.0,0.22834841448437748
24,1,P15_image-3_type-S_class-F.JPG,class-F,type-S,0,29,-1.0,0.7928944026819778
25,1,P15_image-4_type-O_class-F.JPG,class-F,type-O,0,29,-1.0,0.4540410562207894
26,1,P15_image-5_type-O_class-H.JPG,class-H,type-O,0,29,-1.0,0.32250867976885933
27,1,P15_image-6_type-S_class-C.JPG,class-C,type-S,0,29,-1.0,0.2401413398578075
28,3,P16_image-1_type-O_class-H.JPG,class-H,type-O,0,62,35.0,0.4553971207699534
29,3,P16_image-2_type-I_class-C.JPG,class-C,type-I,0,62,35.0,0.4752551500579676
30,3,P16_image-3_type-I_class-F.JPG,class-F,type-I,0,62,35.0,0.9992576496089778
31,3,P16_image-4_type-O_class-M.JPG,class-M,type-O,0,62,35.0,0.706891392848224
32,3,P16_image-5_type-S_class-F.JPG,class-F,type-S,0,62,35.0,0.9950638672479571
33,3,P16_image-6_type-S_class-H.JPG,class-H,type-S,0,62,35.0,0.5608640128170796
34,3,P17_image-1_type-O_class-M.JPG,class-M,type-O,0,67,6.0,0.6881891098602937
35,3,P17_image-2_type-S_class-M.JPG,class-M,type-S,0,67,6.0,0.32067937646309885
36,3,P17_image-3_type-I_class-H.JPG,class-H,type-I,0,67,6.0,0.25451303544362536
37,3,P17_image-4_type-S_class-H.JPG,class-H,type-S,0,67,6.0,0.6062019508544848
38,3,P17_image-5_type-O_class-C.JPG,class-C,type-O,0,67,6.0,0.18439097675728888
39,3,P17_image-6_type-I_class-F.JPG,class-F,type-I,0,67,6.0,0.4966408976063258
40,2,P18_image-1_type-O_class-F.JPG,class-F,type-O,0,53,20.0,0.6107074354350072
41,2,P18_image-2_type-S_class-C.JPG,class-C,type-S,0,53,20.0,0.4486327516658217
42,2,P18_image-3_type-O_class-C.JPG,class-C,type-O,0,53,20.0,0.17767100660473534
43,2,P18_image-4_type-I_class-M.JPG,class-M,type-I,0,53,20.0,0.956853055298121
44,2,P18_image-5_type-I_class-H.JPG,class-H,type-I,0,53,20.0,0.3759128014180353
45,2,P18_image-6_type-S_class-M.JPG,class-M,type-S,0,53,20.0,0.9280427953269721
46,4,P19_image-1_type-O_class-F.JPG,class-F,type-O,0,71,15.0,0.5910295842678434
47,4,P19_image-2_type-I_class-M.JPG,class-M,type-I,0,71,15.0,0.6769989068307629
48,4,P19_image-3_type-O_class-H.JPG,class-H,type-O,0,71,15.0,0.36384603018264505
49,4,P19_image-4_type-I_class-C.JPG,class-C,type-I,0,71,15.0,0.14503640453958933
50,4,P19_image-5_type-S_class-C.JPG,class-C,type-S,0,71,15.0,0.33536220870276434
51,4,P19_image-6_type-S_class-F.JPG,class-F,type-S,0,71,15.0,0.8579974785161016
52,2,P20_image-1_type-O_class-H.JPG,class-H,type-O,0,49,15.8536585365854,0.4556407512062941
53,2,P20_image-2_type-I_class-F.JPG,class-F,type-I,0,49,15.8536585365854,0.545294536388937
54,2,P20_image-3_type-O_class-M.JPG,class-M,type-O,0,49,15.8536585365854,0.8011436229446041
55,2,P20_image-4_type-S_class-H.JPG,class-H,type-S,0,49,15.8536585365854,0.6003043095139344
56,2,P20_image-5_type-S_class-F.JPG,class-F,type-S,0,49,15.8536585365854,1.1695981091376806
57,2,P20_image-6_type-I_class-C.JPG,class-C,type-I,0,49,15.8536585365854,0.4260797749050018
58,2,P21_image-1_type-I_class-F.JPG,class-F,type-I,0,60,16.0,0.47475139917087006
59,2,P21_image-2_type-S_class-H.JPG,class-H,type-S,0,60,16.0,0.6816258119604134
60,2,P21_image-3_type-O_class-C.JPG,class-C,type-O,0,60,16.0,0.7444040270535068
61,2,P21_image-4_type-O_class-M.JPG,class-M,type-O,0,60,16.0,0.6430522281674786
62,2,P21_image-5_type-S_class-M.JPG,class-M,type-S,0,60,16.0,0.6112828463590236
63,2,P21_image-6_type-I_class-H.JPG,class-H,type-I,0,60,16.0,0.2016071454293452
64,4,P22_image-1_type-O_class-F.JPG,class-F,type-O,0,71,18.0,0.46050158367007143
65,4,P22_image-2_type-S_class-M.JPG,class-M,type-S,0,71,18.0,0.5761571143159786
66,4,P22_image-3_type-I_class-M.JPG,class-M,type-I,0,71,18.0,0.7430476003995918
67,4,P22_image-4_type-O_class-C.JPG,class-C,type-O,0,71,18.0,0.18745495076662888
68,4,P22_image-5_type-I_class-H.JPG,class-H,type-I,0,71,18.0,0.3221069553812379
69,4,P22_image-6_type-S_class-C.JPG,class-C,type-S,0,71,18.0,0.2854579669702999
70,3,P24_image-1_type-S_class-F.JPG,class-F,type-S,0,65,21.0,0.6518425908472384
71,3,P24_image-2_type-S_class-H.JPG,class-H,type-S,0,65,21.0,0.7003375170182068
72,3,P24_image-3_type-I_class-C.JPG,class-C,type-I,0,65,21.0,0.6198538843147889
73,3,P24_image-4_type-O_class-H.JPG,class-H,type-O,0,65,21.0,0.3249036943985809
74,3,P24_image-5_type-I_class-F.JPG,class-F,type-I,0,65,21.0,0.8637416805259079
75,3,P24_image-6_type-O_class-M.JPG,class-M,type-O,0,65,21.0,0.6940875223135431
76,2,P25_image-1_type-S_class-M.JPG,class-M,type-S,0,41,17.0454545454545,0.47879299411908816
77,2,P25_image-2_type-I_class-H.JPG,class-H,type-I,0,41,17.0454545454545,0.4192352533393089
78,2,P25_image-3_type-S_class-H.JPG,class-H,type-S,0,41,17.0454545454545,0.5023692251380008
79,2,P25_image-4_type-O_class-C.JPG,class-C,type-O,0,41,17.0454545454545,0.16919361916071995
80,2,P25_image-5_type-O_class-M.JPG,class-M,type-O,0,41,17.0454545454545,0.6409440178810517
81,2,P25_image-6_type-I_class-F.JPG,class-F,type-I,0,41,17.0454545454545,0.5950393999375414
82,2,P26_image-1_type-O_class-C.JPG,class-C,type-O,0,56,15.555555555555598,0.3462376609672908
83,2,P26_image-2_type-I_class-H.JPG,class-H,type-I,0,56,15.555555555555598,0.3612254489068023
84,2,P26_image-4_type-I_class-M.JPG,class-M,type-I,0,56,15.555555555555598,0.9102750893426703
85,2,P26_image-5_type-O_class-F.JPG,class-F,type-O,0,56,15.555555555555598,0.4107073891248605
86,2,P26_image-6_type-S_class-M.JPG,class-M,type-S,0,56,15.555555555555598,0.47919210455727557
87,2,P27_image-1_type-O_class-H.JPG,class-H,type-O,0,55,10.4166666666667,0.3361590318764649
88,2,P27_image-2_type-I_class-M.JPG,class-M,type-I,0,55,10.4166666666667,0.6972418000089029
89,2,P27_image-3_type-S_class-C.JPG,class-C,type-S,0,55,10.4166666666667,0.40883554902093633
90,2,P27_image-4_type-S_class-F.JPG,class-F,type-S,0,55,10.4166666666667,0.822769572875701
91,2,P27_image-5_type-I_class-C.JPG,class-C,type-I,0,55,10.4166666666667,0.3133183326300425
92,2,P27_image-6_type-O_class-F.JPG,class-F,type-O,0,55,10.4166666666667,0.30747640828265754
93,3,P28_image-1_type-I_class-C.JPG,class-C,type-I,0,66,7.0,0.1862384545804595
94,3,P28_image-2_type-O_class-H.JPG,class-H,type-O,0,66,7.0,0.4438969455428394
95,3,P28_image-3_type-S_class-F.JPG,class-F,type-S,0,66,7.0,0.6197013867458824
96,3,P28_image-4_type-O_class-M.JPG,class-M,type-O,0,66,7.0,0.5675212332976278
97,3,P28_image-5_type-S_class-H.JPG,class-H,type-S,0,66,7.0,0.4797539035556164
98,3,P28_image-6_type-I_class-F.JPG,class-F,type-I,0,66,7.0,0.6562703080713702
99,3,P29_image-2_type-S_class-M.JPG,class-M,type-S,0,66,11.0,0.4867854660931644
100,3,P29_image-3_type-S_class-H.JPG,class-H,type-S,0,66,11.0,0.9145869789844676
101,3,P29_image-4_type-I_class-H.JPG,class-H,type-I,0,66,11.0,0.43035364065011894
102,3,P29_image-5_type-O_class-C.JPG,class-C,type-O,0,66,11.0,0.11866438297094084
103,3,P29_image-6_type-O_class-M.JPG,class-M,type-O,0,66,11.0,0.7262246122721431
104,4,P30_image-1_type-O_class-C.JPG,class-C,type-O,0,89,16.0,0.49311318697133055
105,4,P30_image-2_type-I_class-M.JPG,class-M,type-I,0,89,16.0,1.1231201180666568
106,4,P30_image-3_type-S_class-M.JPG,class-M,type-S,0,89,16.0,0.9028327260083282
107,4,P30_image-4_type-I_class-H.JPG,class-H,type-I,0,89,16.0,0.5476243254712536
108,4,P30_image-5_type-O_class-F.JPG,class-F,type-O,0,89,16.0,0.5443025866249153
109,4,P30_image-6_type-S_class-C.JPG,class-C,type-S,0,89,16.0,0.37616879595401054
110,2,P31_image-1_type-I_class-C.JPG,class-C,type-I,0,60,24.4897959183673,0.3564038149536699
111,2,P31_image-2_type-O_class-H.JPG,class-H,type-O,0,60,24.4897959183673,0.3116822299660815
112,2,P31_image-3_type-I_class-M.JPG,class-M,type-I,0,60,24.4897959183673,0.6300244202569427
113,2,P31_image-4_type-O_class-F.JPG,class-F,type-O,0,60,24.4897959183673,0.6198714060765081
114,2,P31_image-5_type-S_class-F.JPG,class-F,type-S,0,60,24.4897959183673,0.7905005809545742
115,2,P31_image-6_type-S_class-C.JPG,class-C,type-S,0,60,24.4897959183673,0.3271004395605799
116,3,P32_image-1_type-I_class-F.JPG,class-F,type-I,0,68,11.2244897959184,0.8308751223650486
117,3,P32_image-2_type-S_class-F.JPG,class-F,type-S,0,68,11.2244897959184,0.9458681057508904
118,3,P32_image-3_type-I_class-C.JPG,class-C,type-I,0,68,11.2244897959184,0.4017951101933104
119,3,P32_image-4_type-O_class-M.JPG,class-M,type-O,0,68,11.2244897959184,0.6416198399472358
120,3,P32_image-5_type-O_class-H.JPG,class-H,type-O,0,68,11.2244897959184,0.3689823332546557
121,3,P32_image-6_type-S_class-H.JPG,class-H,type-S,0,68,11.2244897959184,0.6293660284418051
122,3,P33_image-1_type-I_class-H.JPG,class-H,type-I,0,67,23.6842105263158,0.34793498916224364
123,3,P33_image-2_type-O_class-C.JPG,class-C,type-O,0,67,23.6842105263158,0.17035088026385647
124,3,P33_image-3_type-S_class-M.JPG,class-M,type-S,0,67,23.6842105263158,0.8327499166694352
125,3,P33_image-4_type-O_class-M.JPG,class-M,type-O,0,67,23.6842105263158,0.9719788541411631
126,3,P33_image-5_type-S_class-H.JPG,class-H,type-S,0,67,23.6842105263158,0.8052511868026115
127,3,P33_image-6_type-I_class-F.JPG,class-F,type-I,0,67,23.6842105263158,1.0430091275030975
128,2,P34_image-1_type-S_class-H.JPG,class-H,type-S,0,46,26.530612244898,0.7017191628128099
129,2,P34_image-2_type-I_class-C.JPG,class-C,type-I,0,46,26.530612244898,0.24948558194727743
130,2,P34_image-3_type-I_class-F.JPG,class-F,type-I,0,46,26.530612244898,0.43943033291246925
131,2,P34_image-4_type-O_class-M.JPG,class-M,type-O,0,46,26.530612244898,0.5106400898809837
132,2,P34_image-5_type-S_class-F.JPG,class-F,type-S,0,46,26.530612244898,0.5780780399466607
133,2,P34_image-6_type-O_class-H.JPG,class-H,type-O,0,46,26.530612244898,0.40438423380219224
134,3,P35_image-1_type-I_class-C.JPG,class-C,type-I,0,61,33.0,0.28667616601266543
135,3,P35_image-2_type-I_class-F.JPG,class-F,type-I,0,61,33.0,0.6476111882896877
136,3,P35_image-3_type-O_class-M.JPG,class-M,type-O,0,61,33.0,0.8340606528913654
137,3,P35_image-4_type-O_class-H.JPG,class-H,type-O,0,61,33.0,0.5513620312544312
138,3,P35_image-5_type-S_class-F.JPG,class-F,type-S,0,61,33.0,0.8837806112456412
139,3,P35_image-6_type-S_class-H.JPG,class-H,type-S,0,61,33.0,0.807129605656506
140,2,P36_image-1_type-O_class-M.JPG,class-M,type-O,0,52,15.0,0.6012103322507754
141,2,P36_image-2_type-S_class-H.JPG,class-H,type-S,0,52,15.0,0.8883071032535275
142,2,P36_image-3_type-I_class-C.JPG,class-C,type-I,0,52,15.0,0.34479627451076433
143,2,P36_image-4_type-S_class-F.JPG,class-F,type-S,0,52,15.0,0.6377342921337018
144,2,P36_image-5_type-O_class-H.JPG,class-H,type-O,0,52,15.0,0.5721272565690271
145,2,P36_image-6_type-I_class-F.JPG,class-F,type-I,0,52,15.0,0.5789573650479773
146,2,P39_image-1_type-I_class-F.JPG,class-F,type-I,0,50,11.2244897959184,0.7211197989696232
147,2,P39_image-2_type-I_class-C.JPG,class-C,type-I,0,50,11.2244897959184,0.3032043044718523
148,2,P39_image-3_type-S_class-F.JPG,class-F,type-S,0,50,11.2244897959184,0.7976466821482497
149,2,P39_image-4_type-O_class-M.JPG,class-M,type-O,0,50,11.2244897959184,0.6839791596907122
150,2,P39_image-5_type-S_class-H.JPG,class-H,type-S,0,50,11.2244897959184,0.6049074789270363
151,2,P39_image-6_type-O_class-H.JPG,class-H,type-O,0,50,11.2244897959184,0.33754087988921255
152,2,P41_image-1_type-I_class-F.JPG,class-F,type-I,0,48,10.0,0.5100909606910146
153,2,P41_image-2_type-I_class-C.JPG,class-C,type-I,0,48,10.0,0.18208927116227125
154,2,P41_image-3_type-O_class-M.JPG,class-M,type-O,0,48,10.0,0.8203550804276603
155,2,P41_image-4_type-S_class-H.JPG,class-H,type-S,0,48,10.0,0.49950864002973705
156,2,P41_image-5_type-S_class-F.JPG,class-F,type-S,0,48,10.0,0.7837449896858669
157,2,P41_image-6_type-O_class-H.JPG,class-H,type-O,0,48,10.0,0.3729290960228734
158,2,P42_image-1_type-O_class-M.JPG,class-M,type-O,0,51,7.0,0.8621390205053718
159,2,P42_image-2_type-I_class-C.JPG,class-C,type-I,0,51,7.0,0.24547375355682
160,2,P42_image-3_type-S_class-H.JPG,class-H,type-S,0,51,7.0,0.6177913729126586
161,3,P43_image-1_type-O_class-H.JPG,class-H,type-O,0,61,13.6363636363636,0.4857272888788984
162,3,P43_image-2_type-O_class-M.JPG,class-M,type-O,0,61,13.6363636363636,0.7262382731887036
163,3,P43_image-3_type-I_class-C.JPG,class-C,type-I,0,61,13.6363636363636,0.3323164928554988
164,3,P43_image-4_type-S_class-H.JPG,class-H,type-S,0,61,13.6363636363636,0.5360175003953752
165,3,P43_image-5_type-I_class-F.JPG,class-F,type-I,0,61,13.6363636363636,0.7316389371203674
166,3,P43_image-6_type-S_class-F.JPG,class-F,type-S,0,61,13.6363636363636,0.5186982887180154
167,1,P44_image-1_type-O_class-F.JPG,class-F,type-O,0,38,22.0,0.12791527522485457
168,1,P44_image-2_type-O_class-C.JPG,class-C,type-O,0,38,22.0,0.15340178639875468
169,1,P44_image-3_type-S_class-C.JPG,class-C,type-S,0,38,22.0,0.13850589946549174
170,1,P44_image-4_type-S_class-M.JPG,class-M,type-S,0,38,22.0,0.29895952156937333
171,1,P44_image-5_type-I_class-M.JPG,class-M,type-I,0,38,22.0,0.21485218135878215
172,1,P44_image-6_type-I_class-H.JPG,class-H,type-I,0,38,22.0,0.27254179749980856
173,1,P45_image-1_type-S_class-C.JPG,class-C,type-S,0,36,20.0,0.140994210282688
174,1,P45_image-2_type-I_class-C.JPG,class-C,type-I,0,36,20.0,0.09978795204587021
175,1,P45_image-3_type-O_class-F.JPG,class-F,type-O,0,36,20.0,0.48481663383197515
