"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanCOMP"
"1","P120","image-2","type-I","class-F","P120_image-2_type-I_class-F.JPG",59,99
"2","P39","image-1","type-I","class-F","P39_image-1_type-I_class-F.JPG",50,97.6666666666667
"3","P53","image-1","type-I","class-H","P53_image-1_type-I_class-H.JPG",35,95.4
"4","P73","image-1","type-I","class-F","P73_image-1_type-I_class-F.JPG",76,95.0714285714286
"5","P95","image-3","type-I","class-M","P95_image-3_type-I_class-M.JPG",75,91.75
"6","P121","image-5","type-I","class-M","P121_image-5_type-I_class-M.JPG",66,91.125
"7","P56","image-5","type-I","class-H","P56_image-5_type-I_class-H.JPG",73,90.7
"8","P19","image-4","type-I","class-C","P19_image-4_type-I_class-C.JPG",71,89.3
"9","P116","image-6","type-I","class-F","P116_image-6_type-I_class-F.JPG",78,89
"10","P85","image-3","type-I","class-F","P85_image-3_type-I_class-F.JPG",80,88.9285714285714
"11","P95","image-5","type-I","class-H","P95_image-5_type-I_class-H.JPG",75,88.5
"12","P111","image-1","type-I","class-H","P111_image-1_type-I_class-H.JPG",73,87.7142857142857
"13","P67","image-5","type-I","class-H","P67_image-5_type-I_class-H.JPG",64,87.25
"14","P28","image-6","type-I","class-F","P28_image-6_type-I_class-F.JPG",66,86.9
"15","P80","image-5","type-I","class-M","P80_image-5_type-I_class-M.JPG",82,86.375
"16","P68","image-1","type-I","class-M","P68_image-1_type-I_class-M.JPG",70,86.25
"17","P83","image-2","type-I","class-H","P83_image-2_type-I_class-H.JPG",74,84.25
"18","P39","image-3","type-S","class-F","P39_image-3_type-S_class-F.JPG",50,83.3
"19","P58","image-6","type-O","class-C","P58_image-6_type-O_class-C.JPG",99,82.7
"20","P82","image-6","type-I","class-H","P82_image-6_type-I_class-H.JPG",78,82
"21","P47","image-6","type-S","class-C","P47_image-6_type-S_class-C.JPG",69,81.7
"22","P60","image-1","type-S","class-C","P60_image-1_type-S_class-C.JPG",75,81.7
"23","P47","image-2","type-I","class-H","P47_image-2_type-I_class-H.JPG",69,81.3
"24","P91","image-4","type-S","class-C","P91_image-4_type-S_class-C.JPG",58,81.3
"25","P116","image-2","type-S","class-M","P116_image-2_type-S_class-M.JPG",78,80.9
"26","P71","image-2","type-I","class-H","P71_image-2_type-I_class-H.JPG",56,80.8333333333333
"27","P28","image-3","type-S","class-F","P28_image-3_type-S_class-F.JPG",66,80.75
"28","P68","image-4","type-S","class-F","P68_image-4_type-S_class-F.JPG",70,80.5
"29","P116","image-5","type-S","class-H","P116_image-5_type-S_class-H.JPG",78,80.25
"30","P47","image-1","type-I","class-M","P47_image-1_type-I_class-M.JPG",69,80.25
"31","P68","image-5","type-O","class-H","P68_image-5_type-O_class-H.JPG",70,80.1
"32","P91","image-2","type-I","class-M","P91_image-2_type-I_class-M.JPG",58,80
"33","P106","image-2","type-S","class-H","P106_image-2_type-S_class-H.JPG",68,79.6
"34","P10","image-5","type-I","class-H","P10_image-5_type-I_class-H.JPG",68,78.8333333333333
"35","P58","image-1","type-I","class-H","P58_image-1_type-I_class-H.JPG",99,78.8
"36","P62","image-4","type-O","class-C","P62_image-4_type-O_class-C.JPG",73,78.3
"37","P53","image-6","type-I","class-M","P53_image-6_type-I_class-M.JPG",35,78.1666666666667
"38","P111","image-2","type-I","class-M","P111_image-2_type-I_class-M.JPG",73,78.1
"39","P106","image-3","type-I","class-F","P106_image-3_type-I_class-F.JPG",68,77.625
"40","P66","image-2","type-I","class-F","P66_image-2_type-I_class-F.JPG",83,77.2
"41","P104","image-2","type-O","class-H","P104_image-2_type-O_class-H.JPG",92,77.0833333333333
"42","P104","image-5","type-S","class-C","P104_image-5_type-S_class-C.JPG",92,76.6428571428571
"43","P110","image-5","type-I","class-H","P110_image-5_type-I_class-H.JPG",88,76.6428571428571
"44","P47","image-5","type-S","class-M","P47_image-5_type-S_class-M.JPG",69,76.6
"45","P57","image-1","type-I","class-M","P57_image-1_type-I_class-M.JPG",90,75.5
"46","P85","image-4","type-S","class-F","P85_image-4_type-S_class-F.JPG",80,75.0833333333333
"47","P120","image-3","type-S","class-H","P120_image-3_type-S_class-H.JPG",59,75
"48","P22","image-3","type-I","class-M","P22_image-3_type-I_class-M.JPG",71,75
"49","P80","image-6","type-I","class-C","P80_image-6_type-I_class-C.JPG",82,74.8
"50","P57","image-4","type-O","class-H","P57_image-4_type-O_class-H.JPG",90,73.9
"51","P60","image-2","type-I","class-M","P60_image-2_type-I_class-M.JPG",75,73.9
"52","P97","image-6","type-I","class-F","P97_image-6_type-I_class-F.JPG",61,73.7
"53","P111","image-3","type-S","class-C","P111_image-3_type-S_class-C.JPG",73,73.4
"54","P19","image-2","type-I","class-M","P19_image-2_type-I_class-M.JPG",71,73.3333333333333
"55","P82","image-5","type-S","class-H","P82_image-5_type-S_class-H.JPG",78,73.25
"56","P65","image-1","type-I","class-F","P65_image-1_type-I_class-F.JPG",56,73.0833333333333
"57","P80","image-1","type-S","class-C","P80_image-1_type-S_class-C.JPG",82,73
"58","P58","image-3","type-S","class-H","P58_image-3_type-S_class-H.JPG",99,72.875
"59","P58","image-2","type-I","class-F","P58_image-2_type-I_class-F.JPG",99,72.8
"60","P71","image-6","type-O","class-F","P71_image-6_type-O_class-F.JPG",56,72.5833333333333
"61","P106","image-6","type-S","class-M","P106_image-6_type-S_class-M.JPG",68,72.5714285714286
"62","P77","image-5","type-S","class-F","P77_image-5_type-S_class-F.JPG",60,72.5
"63","P36","image-6","type-I","class-F","P36_image-6_type-I_class-F.JPG",52,72.2
