"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanSCR"
"1","P17","image-2","type-S","class-M","P17_image-2_type-S_class-M.JPG",67,93.3
"2","P103","image-3","type-I","class-H","P103_image-3_type-I_class-H.JPG",27,84.2857142857143
"3","P97","image-3","type-I","class-C","P97_image-3_type-I_class-C.JPG",61,84
"4","P48","image-4","type-S","class-F","P48_image-4_type-S_class-F.JPG",47,83.1666666666667
"5","P8","image-3","type-O","class-M","P8_image-3_type-O_class-M.JPG",31,82.6
"6","P79","image-2","type-I","class-M","P79_image-2_type-I_class-M.JPG",39,82.5833333333333
"7","P103","image-2","type-O","class-C","P103_image-2_type-O_class-C.JPG",27,80.125
"8","P15","image-3","type-S","class-F","P15_image-3_type-S_class-F.JPG",29,80
"9","P97","image-1","type-S","class-F","P97_image-1_type-S_class-F.JPG",61,78.1428571428571
"10","P50","image-5","type-I","class-M","P50_image-5_type-I_class-M.JPG",26,78.1
"11","P96","image-3","type-S","class-C","P96_image-3_type-S_class-C.JPG",45,75.9285714285714
"12","P32","image-4","type-O","class-M","P32_image-4_type-O_class-M.JPG",68,75.625
"13","P15","image-2","type-I","class-C","P15_image-2_type-I_class-C.JPG",29,75.5
"14","P50","image-3","type-S","class-C","P50_image-3_type-S_class-C.JPG",26,75.5
"15","P101","image-1","type-O","class-M","P101_image-1_type-O_class-M.JPG",25,74.9
"16","P16","image-1","type-O","class-H","P16_image-1_type-O_class-H.JPG",62,72.7
"17","P79","image-1","type-S","class-C","P79_image-1_type-S_class-C.JPG",39,71.8
"18","P79","image-6","type-I","class-H","P79_image-6_type-I_class-H.JPG",39,71
"19","P107","image-6","type-O","class-F","P107_image-6_type-O_class-F.JPG",46,70.5714285714286
"20","P97","image-2","type-S","class-H","P97_image-2_type-S_class-H.JPG",61,69.8333333333333
"21","P27","image-2","type-I","class-M","P27_image-2_type-I_class-M.JPG",55,69.2
"22","P27","image-3","type-S","class-C","P27_image-3_type-S_class-C.JPG",55,68.5
"23","P44","image-6","type-I","class-H","P44_image-6_type-I_class-H.JPG",38,67.875
"24","P32","image-6","type-S","class-H","P32_image-6_type-S_class-H.JPG",68,67.5
"25","P75","image-2","type-S","class-C","P75_image-2_type-S_class-C.JPG",42,67
"26","P52","image-6","type-S","class-M","P52_image-6_type-S_class-M.JPG",27,66.0833333333333
"27","P108","image-3","type-S","class-F","P108_image-3_type-S_class-F.JPG",43,66
"28","P107","image-4","type-I","class-H","P107_image-4_type-I_class-H.JPG",46,65.4
"29","P86","image-3","type-I","class-H","P86_image-3_type-I_class-H.JPG",49,65.0714285714286
"30","P75","image-1","type-O","class-C","P75_image-1_type-O_class-C.JPG",42,64.5833333333333
"31","P86","image-4","type-S","class-H","P86_image-4_type-S_class-H.JPG",49,64.5833333333333
"32","P119","image-1","type-S","class-F","P119_image-1_type-S_class-F.JPG",38,64.3
"33","P75","image-5","type-O","class-F","P75_image-5_type-O_class-F.JPG",42,64.0833333333333
"34","P48","image-1","type-I","class-M","P48_image-1_type-I_class-M.JPG",47,63.2
"35","P24","image-2","type-S","class-H","P24_image-2_type-S_class-H.JPG",65,63
"36","P48","image-6","type-S","class-C","P48_image-6_type-S_class-C.JPG",47,62.8333333333333
"37","P50","image-1","type-O","class-C","P50_image-1_type-O_class-C.JPG",26,62.7
"38","P84","image-6","type-S","class-F","P84_image-6_type-S_class-F.JPG",38,62.25
"39","P101","image-2","type-S","class-F","P101_image-2_type-S_class-F.JPG",25,62
"40","P50","image-6","type-I","class-H","P50_image-6_type-I_class-H.JPG",26,61.9166666666667
"41","P16","image-2","type-I","class-C","P16_image-2_type-I_class-C.JPG",62,61.2
"42","P36","image-4","type-S","class-F","P36_image-4_type-S_class-F.JPG",52,61.2
"43","P48","image-3","type-O","class-H","P48_image-3_type-O_class-H.JPG",47,61
"44","P52","image-5","type-I","class-F","P52_image-5_type-I_class-F.JPG",27,61
"45","P109","image-4","type-O","class-M","P109_image-4_type-O_class-M.JPG",35,60.9
"46","P51","image-2","type-I","class-C","P51_image-2_type-I_class-C.JPG",37,60.8
"47","P103","image-1","type-S","class-C","P103_image-1_type-S_class-C.JPG",27,60.7
"48","P54","image-3","type-I","class-C","P54_image-3_type-I_class-C.JPG",41,60.4
"49","P44","image-2","type-O","class-C","P44_image-2_type-O_class-C.JPG",38,60.3333333333333
"50","P54","image-2","type-S","class-C","P54_image-2_type-S_class-C.JPG",41,60.3333333333333
"51","P52","image-2","type-S","class-H","P52_image-2_type-S_class-H.JPG",27,60.1
