,layer,Child,age,aq,priorByMean,priorByStd,priorByMaxmin
0,0.0,P10,68,11.2244897959184,0.5113440119359954,0.16187974981274147,0.554217300120878
1,0.0,P100,45,15.306122448979599,0.8888688117183393,0.18177554717937286,0.5824812644438867
2,0.0,P101,25,30.851063829787197,0.44566103967066095,0.21296865578986776,0.7507433374551885
3,0.0,P102,61,19.0,0.6833331916797535,0.218046860611063,0.7974416360683847
4,0.0,P103,27,-1.0,0.5724542013889157,0.2233824561841502,0.7850964645738251
5,0.0,P104,92,23.0,0.5404817276026518,0.20936600698422206,0.6298946885040996
6,0.0,P105,61,11.0,0.5985656460650455,0.2677331453341049,0.6738908435322668
7,0.0,P106,68,21.0,0.7632599607119381,0.21746172508096717,0.7580876974446678
8,0.0,P107,46,27.0833333333333,0.6718567125716397,0.16905879656625042,0.6652100862025243
9,0.0,P108,43,28.0,0.3833282510561727,0.16391663361631748,0.5228984509290402
10,0.0,P109,35,16.0,0.44976263027273206,0.14194527812454322,0.5273086160964405
11,0.0,P11,94,34.6938775510204,0.5765149296476368,0.21588939537971075,0.5978128430320825
12,0.0,P110,88,17.0,0.8189890727240533,0.21040984555215433,0.8489276232737426
13,0.0,P111,73,16.3265306122449,0.5958058100998359,0.2686209181858577,0.8180439310241032
14,0.0,P113,64,23.0,0.7672251985088734,0.20219571108163692,0.8078083267283547
15,0.0,P115,60,22.0,0.5133786057440974,0.2930796790557412,1.1544604231408957
16,0.0,P116,78,27.5510204081633,0.7121691181240404,0.24036985719673498,0.8229020163561911
17,0.0,P117,42,20.0,0.7002925357947637,0.25139180921457294,0.8893237062843049
18,0.0,P118,54,17.7083333333333,0.749781481708798,0.1911804951573068,0.7234648353684723
19,0.0,P119,38,12.0,0.40333720937777956,0.18716118537517593,0.7646212415993816
20,0.0,P12,46,9.0,0.48342960644461586,0.21232522461156073,0.6706143063781635
21,0.0,P120,59,15.0,0.7870972363107925,0.2865031838885313,0.9379880156531498
22,0.0,P121,66,-1.0,0.7337793291751252,0.1906744125708608,0.6342283710060258
23,0.0,P13,58,18.0,0.5833178792419299,0.2523651170878473,0.6130221971821173
24,0.0,P14,38,20.0,0.49636813845759525,0.1468547260011061,0.5864165810056571
25,0.0,P15,29,-1.0,0.439163538432295,0.14238931934670246,0.48322863589848275
26,0.0,P16,62,35.0,0.4501292918401455,0.15890594920535928,0.5638883635518999
27,0.0,P17,67,6.0,0.49842406657440225,0.2020293036214254,0.6632389221043619
28,0.0,P18,53,20.0,0.5774178484286662,0.19149914969678591,0.6392499985292615
29,0.0,P19,71,15.0,0.6872852785301293,0.19619686184671853,0.609235205438697
30,0.0,P20,49,15.8536585365854,0.627566963378383,0.33420931586414626,0.9659378474366325
31,0.0,P21,60,16.0,0.6440115405995759,0.2639311782478816,1.0681527895674818
32,0.0,P22,71,18.0,0.5410197421700843,0.17753347166453845,0.6849400537045813
