"","Child","X","layer","age","aq","priorByMean","priorByStd","priorByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"1","P10",206,2,68,11.2244897959184,0.694393112278809,0.398599117191019,1.17569171695426,54,58.6333333333333,29.8,25.9,27.95
"2","P100",207,2,45,15.3061224489796,1.12578004296858,0.220475111511871,0.612602741162475,28.6153846153846,37.3846153846154,14.5769230769231,16.8846153846154,33.6346153846154
"3","P101",208,2,25,30.8510638297872,0.45221133416738,0.313487679139263,1.03820913781458,15.0285714285714,23.6285714285714,15.4,23.7142857142857,50.8857142857143
"4","P102",209,2,61,19,0.79182064014061,0.41519868542976,1.42934398804032,43.5,50.2857142857143,15.2,24.7142857142857,31.1571428571429
"5","P103",210,2,27,-1,0.576100572693533,0.327884252885508,1.22153472111488,15.6029411764706,15.3235294117647,13.2647058823529,12.3823529411765,60.7941176470588
"6","P104",211,2,92,23,0.628777269698299,0.310524800343759,0.97658271393364,60.3611111111111,75.9166666666667,17.7777777777778,15.3611111111111,13
"7","P105",212,2,61,11,0.592168886796612,0.213490326342016,0.523342642734889,42.5952380952381,68.8571428571429,13.4285714285714,43.7619047619048,20.4047619047619
"8","P106",213,2,68,21,1.00231331178362,0.37699942147209,1.38399701406867,62.3285714285714,70.4857142857143,9.51428571428571,16.6285714285714,9.75714285714286
"9","P107",214,2,46,27.0833333333333,0.759972321427809,0.293167234929706,1.15689125313639,14.8428571428571,23,8.85714285714286,24.3142857142857,49.1857142857143
"10","P108",215,2,43,28,0.416967601245626,0.214534387444786,0.699343515064665,21.7916666666667,28.7777777777778,7.66666666666667,16.1111111111111,33.8194444444444
"11","P109",216,2,35,16,0.600168473449735,0.2593316029374,0.897260667940507,20.9411764705882,47.2352941176471,30.9411764705882,27.5294117647059,33.8088235294118
"12","P11",217,2,94,34.6938775510204,0.751506724386932,0.328237592427847,1.00848060845818,42.1,82.4,0,0,3.5
"13","P110",218,2,88,17,1.05799230391078,0.500209493028226,1.43468647380873,54.5142857142857,65.4,17.7714285714286,36.0857142857143,16.3571428571429
"14","P111",219,2,73,16.3265306122449,0.716142070593359,0.421124361189631,1.25457788441174,70.3888888888889,84.1944444444444,15.8333333333333,14.9444444444444,15.7638888888889
