"","Child","X","layer","age","aq","scoreByMean","scoreByStd","scoreByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"1","P10",0,0,68,11.2244897959184,0.511344011935995,0.161879749812741,0.554217300120878,54,58.6333333333333,29.8,25.9,27.95
"2","P100",1,0,45,15.3061224489796,0.888868811718339,0.181775547179373,0.582481264443887,28.6153846153846,37.3846153846154,14.5769230769231,16.8846153846154,33.6346153846154
"3","P101",2,0,25,30.8510638297872,0.445661039670661,0.212968655789868,0.750743337455189,15.0285714285714,23.6285714285714,15.4,23.7142857142857,50.8857142857143
"4","P102",3,0,61,19,0.683333191679753,0.218046860611063,0.797441636068385,43.5,50.2857142857143,15.2,24.7142857142857,31.1571428571429
"5","P103",4,0,27,-1,0.572454201388916,0.22338245618415,0.785096464573825,15.6029411764706,15.3235294117647,13.2647058823529,12.3823529411765,60.7941176470588
"6","P104",5,0,92,23,0.540481727602652,0.209366006984222,0.6298946885041,60.3611111111111,75.9166666666667,17.7777777777778,15.3611111111111,13
"7","P105",6,0,61,11,0.598565646065045,0.267733145334105,0.673890843532267,42.5952380952381,68.8571428571429,13.4285714285714,43.7619047619048,20.4047619047619
"8","P106",7,0,68,21,0.763259960711938,0.217461725080967,0.758087697444668,62.3285714285714,70.4857142857143,9.51428571428571,16.6285714285714,9.75714285714286
"9","P107",8,0,46,27.0833333333333,0.67185671257164,0.16905879656625,0.665210086202524,14.8428571428571,23,8.85714285714286,24.3142857142857,49.1857142857143
"10","P108",9,0,43,28,0.383328251056173,0.163916633616317,0.52289845092904,21.7916666666667,28.7777777777778,7.66666666666667,16.1111111111111,33.8194444444444
"11","P109",10,0,35,16,0.449762630272732,0.141945278124543,0.527308616096441,20.9411764705882,47.2352941176471,30.9411764705882,27.5294117647059,33.8088235294118
"12","P11",11,0,94,34.6938775510204,0.576514929647637,0.215889395379711,0.597812843032082,42.1,82.4,0,0,3.5
"13","P110",12,0,88,17,0.818989072724053,0.210409845552154,0.848927623273743,54.5142857142857,65.4,17.7714285714286,36.0857142857143,16.3571428571429
"14","P111",13,0,73,16.3265306122449,0.595805810099836,0.268620918185858,0.818043931024103,70.3888888888889,84.1944444444444,15.8333333333333,14.9444444444444,15.7638888888889
"15","P113",14,0,64,23,0.767225198508873,0.202195711081637,0.807808326728355,11.3055555555556,74.1388888888889,93.0277777777778,4.16666666666667,4.31944444444444
"16","P115",15,0,60,22,0.513378605744097,0.293079679055741,1.1544604231409,44.3,57.5333333333333,9.73333333333333,15.7,17.6166666666667
"17","P116",16,0,78,27.5510204081633,0.71216911812404,0.240369857196735,0.822902016356191,69,78.5294117647059,14.7352941176471,29.8823529411765,15.7794117647059
"18","P117",17,0,42,20,0.700292535794764,0.251391809214573,0.889323706284305,34.4166666666667,33.3333333333333,22.3888888888889,16.4444444444444,29.7916666666667
"19","P118",18,0,54,17.7083333333333,0.749781481708798,0.191180495157307,0.723464835368472,4.83333333333333,67.4444444444444,96.7777777777778,0,0
"20","P119",19,0,38,12,0.40333720937778,0.187161185375176,0.764621241599382,16.4,30.1,21.8333333333333,25.7,50.4166666666667
"21","P12",20,0,46,9,0.483429606444616,0.212325224611561,0.670614306378164,0,18.1666666666667,3.83333333333333,44.8333333333333,30.6666666666667
"22","P120",21,0,59,15,0.787097236310793,0.286503183888531,0.93798801565315,58.948275862069,72.4137931034483,16.1724137931034,39.3103448275862,17.2586206896552
"23","P121",22,0,66,-1,0.733779329175125,0.190674412570861,0.634228371006026,61,77.2692307692308,16.2307692307692,19.7307692307692,10.8846153846154
"24","P13",23,0,58,18,0.58331787924193,0.252365117087847,0.613022197182117,19.75,67.0555555555556,87,25.7222222222222,17
