"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanCOLORING"
"1","P89","image-5","type-O","class-M","P89_image-5_type-O_class-M.JPG",63,100
"2","P63","image-6","type-O","class-F","P63_image-6_type-O_class-F.JPG",67,98.6666666666667
"3","P33","image-1","type-I","class-H","P33_image-1_type-I_class-H.JPG",67,98.6
"4","P63","image-5","type-I","class-M","P63_image-5_type-I_class-M.JPG",67,97.6666666666667
"5","P93","image-2","type-I","class-C","P93_image-2_type-I_class-C.JPG",55,97.3333333333333
"6","P76","image-4","type-S","class-C","P76_image-4_type-S_class-C.JPG",35,96.8333333333333
"7","P33","image-4","type-O","class-M","P33_image-4_type-O_class-M.JPG",67,96.75
"8","P72","image-6","type-S","class-F","P72_image-6_type-S_class-F.JPG",50,95.8333333333333
"9","P105","image-3","type-S","class-H","P105_image-3_type-S_class-H.JPG",61,95.8
"10","P81","image-1","type-O","class-M","P81_image-1_type-O_class-M.JPG",59,95.3333333333333
"11","P63","image-3","type-S","class-C","P63_image-3_type-S_class-C.JPG",67,95.1666666666667
"12","P90","image-2","type-O","class-C","P90_image-2_type-O_class-C.JPG",66,95
"13","P93","image-1","type-O","class-H","P93_image-1_type-O_class-H.JPG",55,94.8571428571429
"14","P94","image-1","type-S","class-H","P94_image-1_type-S_class-H.JPG",63,93.6
"15","P59","image-5","type-O","class-C","P59_image-5_type-O_class-C.JPG",49,93.5
"16","P110","image-6","type-O","class-M","P110_image-6_type-O_class-M.JPG",88,93.2
"17","P19","image-3","type-O","class-H","P19_image-3_type-O_class-H.JPG",71,92.5
"18","P35","image-6","type-S","class-H","P35_image-6_type-S_class-H.JPG",61,92.2
"19","P35","image-3","type-O","class-M","P35_image-3_type-O_class-M.JPG",61,91.8
"20","P26","image-1","type-O","class-C","P26_image-1_type-O_class-C.JPG",56,91.4
"21","P74","image-5","type-O","class-C","P74_image-5_type-O_class-C.JPG",63,90.8571428571429
"22","P30","image-6","type-S","class-C","P30_image-6_type-S_class-C.JPG",89,90.6
"23","P63","image-4","type-O","class-C","P63_image-4_type-O_class-C.JPG",67,90.4
