"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanSCR"
"1","P17","image-2","type-S","class-M","P17_image-2_type-S_class-M.JPG",67,93.3
"2","P103","image-3","type-I","class-H","P103_image-3_type-I_class-H.JPG",27,84.2857142857143
"3","P97","image-3","type-I","class-C","P97_image-3_type-I_class-C.JPG",61,84
"4","P48","image-4","type-S","class-F","P48_image-4_type-S_class-F.JPG",47,83.1666666666667
"5","P8","image-3","type-O","class-M","P8_image-3_type-O_class-M.JPG",31,82.6
"6","P79","image-2","type-I","class-M","P79_image-2_type-I_class-M.JPG",39,82.5833333333333
"7","P103","image-2","type-O","class-C","P103_image-2_type-O_class-C.JPG",27,80.125
"8","P15","image-3","type-S","class-F","P15_image-3_type-S_class-F.JPG",29,80
"9","P97","image-1","type-S","class-F","P97_image-1_type-S_class-F.JPG",61,78.1428571428571
"10","P50","image-5","type-I","class-M","P50_image-5_type-I_class-M.JPG",26,78.1
"11","P96","image-3","type-S","class-C","P96_image-3_type-S_class-C.JPG",45,75.9285714285714
"12","P32","image-4","type-O","class-M","P32_image-4_type-O_class-M.JPG",68,75.625
"13","P15","image-2","type-I","class-C","P15_image-2_type-I_class-C.JPG",29,75.5
"14","P50","image-3","type-S","class-C","P50_image-3_type-S_class-C.JPG",26,75.5
"15","P101","image-1","type-O","class-M","P101_image-1_type-O_class-M.JPG",25,74.9
"16","P16","image-1","type-O","class-H","P16_image-1_type-O_class-H.JPG",62,72.7
"17","P79","image-1","type-S","class-C","P79_image-1_type-S_class-C.JPG",39,71.8
"18","P79","image-6","type-I","class-H","P79_image-6_type-I_class-H.JPG",39,71
"19","P107","image-6","type-O","class-F","P107_image-6_type-O_class-F.JPG",46,70.5714285714286
